id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
710272880622354400,0.3424,0.1183,0.3,0.2394,0.6476,0.3524,0.5134,0.4866
2553765414,0.0028,0.0042,0.1265,0.8665,0.995,0.005,0.1548,0.8452
449274200,0.0224,0.0477,0.4635,0.4663,0.9897,0.0103,0.1109,0.8891
804560202,0.0111,0.0051,0.13,0.8538,0.9662,0.0338,0.3121,0.6879
27697345,0.2168,0.2553,0.3734,0.1545,0.3254,0.6746,0.133,0.867
1184972408144441300,4e-4,0.0024,0.1277,0.8694,0.0011,0.9989,0.0673,0.9327
308279712,0.0111,0.004,0.2786,0.7063,0.0957,0.9043,0.6286,0.3714
759145219346591700,0.1411,0.1494,0.6553,0.0541,0.0227,0.9773,0.0106,0.9894
333211931,0.0144,0.0094,0.4233,0.553,0.9869,0.0131,0.3214,0.6786
464189079,0.0686,0.0127,0.3711,0.5477,0.9733,0.0267,0.7897,0.2103
864323893225455600,0.1381,0.0085,0.1685,0.685,0.8251,0.1749,0.9265,0.0735
881574854180446200,0.0157,0.0053,0.0956,0.8833,0.955,0.045,0.2653,0.7347
400383768,2e-4,0.0012,0.0864,0.9123,0.9967,0.0033,0.4122,0.5878
191294208,0.0636,0.0264,0.1605,0.7495,0.6625,0.3375,0.7418,0.2582
1242570283568922600,0.0042,0.0241,0.2186,0.753,0.9933,0.0067,0.2763,0.7237
831287065643855900,0.0194,0.021,0.1718,0.7878,5e-4,0.9995,0.0057,0.9943
1241394183807647700,0.0699,0.0605,0.7527,0.1169,0.0187,0.9813,0.0272,0.9728
4699154862,8e-4,8e-4,0.067,0.9314,0.012,0.988,0.4161,0.5839
978719743786991600,0.1742,0.0656,0.3557,0.4045,0.927,0.073,0.2164,0.7836
1180514694,0.0054,0.0537,0.7153,0.2256,0.9998,2e-4,0.0017,0.9983
1195464474469253e3,0.0043,0.011,0.1986,0.7861,0.9996,4e-4,0.0049,0.9951
3240325433,0.0966,0.0591,0.434,0.4103,0.8498,0.1502,0.6531,0.3469
7072142,0.0118,0.0325,0.5393,0.4164,0.997,0.003,0.1209,0.8791
708116652320116700,0.0137,0.0101,0.1216,0.8546,0.9324,0.0676,0.5949,0.4051
286760522,0.0482,0.0749,0.7114,0.1655,0.0146,0.9854,0.3957,0.6043
913435732164956200,0.0346,0.0751,0.5932,0.2971,0.5651,0.4349,0.2448,0.7552
1136656067654557700,0.0101,0.0049,0.2113,0.7737,0.9939,0.0061,0.8798,0.1202
1108808100889399300,0.3657,0.0952,0.162,0.3771,0.1269,0.8731,0.2695,0.7305
2567949599,0.0076,0.0036,0.0917,0.8972,0.9835,0.0165,0.9138,0.0862
1013822643949260800,0.2653,0.0887,0.3158,0.3301,0.6381,0.3619,0.7073,0.2927
1303179728031854600,0.0357,0.0074,0.1349,0.822,0.9927,0.0073,0.4231,0.5769
4842923147,0.005,0.007,0.3056,0.6824,0.0015,0.9985,0.1017,0.8983
550258666,0.0067,0.0162,0.2674,0.7096,0.5925,0.4075,0.2525,0.7475
104028709,0.0313,0.0955,0.5951,0.278,0.0121,0.9879,0.1007,0.8993
1145155022835073e3,0.0207,0.0205,0.3361,0.6226,0.9693,0.0307,0.1845,0.8155
328730104,0.0181,0.0024,0.0673,0.9121,0.0032,0.9968,0.096,0.904
1.0479797053187441e+18,0.0791,0.0811,0.0814,0.7584,0.9818,0.0182,0.4984,0.5016
984287548674486300,0.0118,0.0257,0.2102,0.7523,0.9638,0.0362,0.3652,0.6348
100825780,0.0015,0.0053,0.1114,0.8818,0.056,0.944,0.1099,0.8901
408104133,0.1697,0.0297,0.0972,0.7035,0.9193,0.0807,0.9602,0.0398
856945495280898e3,0.0153,0.0077,0.4006,0.5764,0.9863,0.0137,0.3447,0.6553
240505853,0.1665,0.1692,0.3325,0.3318,0.9518,0.0482,0.2199,0.7801
11619694013626e5,0.2186,0.062,0.2844,0.435,0.8714,0.1286,0.2292,0.7708
265579989,0.0254,0.2339,0.6145,0.1262,0.9727,0.0273,0.0397,0.9603
728424524509630500,0.6696,0.2395,0.0543,0.0365,0.474,0.526,0.0253,0.9747
2973566955,0.0038,0.0076,0.1614,0.8273,0.1591,0.8409,0.1262,0.8738
18907179,0.0012,0.005,0.1633,0.8305,0.9588,0.0412,0.1913,0.8087
248105861,0.0294,0.0496,0.9176,0.0034,0.0012,0.9988,1e-4,0.9999
19220918,0.0131,0.2795,0.5457,0.1617,0.039,0.961,0.0625,0.9375
1169404027794116600,0.0065,0.0074,0.181,0.8052,0.9949,0.0051,0.2157,0.7843
65540587,0.0019,3e-4,0.0431,0.9547,0.9714,0.0286,0.4923,0.5077
960968982030356500,0.0816,0.0241,0.3785,0.5159,0.4622,0.5378,0.3755,0.6245
1345758930,0.164,0.5089,0.2963,0.0307,0.0438,0.9562,0.0032,0.9968
17354047,0.0025,0.0314,0.7329,0.2332,0.9836,0.0164,0.0577,0.9423
1155489242501582800,0.0039,0.0104,0.0391,0.9466,0.936,0.064,0.0952,0.9048
34637312,0.0213,0.0064,0.1204,0.8518,0.6722,0.3278,0.6128,0.3872
595089669,0.093,0.0843,0.3165,0.5062,0.4458,0.5542,0.6917,0.3083
871569210161365e3,0.0094,0.0219,0.2919,0.6768,0.9861,0.0139,0.21,0.79
2483118960,0.1918,0.0952,0.2498,0.4632,0.6882,0.3118,0.4418,0.5582
73801254,0.113,0.1298,0.2665,0.4907,0.9192,0.0808,0.1683,0.8317
2997417656,0.0016,3e-4,0.0173,0.9809,0.9757,0.0243,0.5402,0.4598
947865072914915300,0.4904,0.1992,0.2061,0.1043,0.8127,0.1873,0.2306,0.7694
32146244,0.032,0.2367,0.6433,0.088,0.0071,0.9929,0.2263,0.7737
1314647487551025200,0.6613,0.2197,0.0794,0.0395,0.3099,0.6901,0.0973,0.9027
924901541676552200,0.222,0.0714,0.4217,0.2849,0.7247,0.2753,0.6778,0.3222
21283587,0.0018,0.0045,0.053900000000000003,0.9398,0.9901,0.0099,0.7437,0.2563
1004747766759735300,0.4128,0.1974,0.2573,0.1325,0.5214,0.4786,0.415,0.585
726996253897162800,0.004,0.0333,0.2693,0.6934,0.0107,0.9893,0.0534,0.9466
28011494,0.0065,0.0196,0.5489,0.4251,0.0353,0.9647,0.1705,0.8295
